epoch,lr,train_loss,val_loss,val_dice_mean,val_dice_ET,val_dice_TC,val_dice_WT,time_s,best_model
139,2.370779e-05,0.8554,1.0110,0.7626,0.6863,0.7208,0.8808,96.0,0
140,2.304073e-05,0.8572,1.0431,0.7636,0.6874,0.7335,0.8700,96.2,0
141,2.238080e-05,0.8604,1.0403,0.7585,0.6768,0.7279,0.8708,98.4,0
142,2.172816e-05,0.8469,1.0711,0.7616,0.6981,0.7252,0.8616,100.0,0
143,2.108299e-05,0.8060,1.0128,0.7558,0.6787,0.7162,0.8726,94.8,0
144,2.044546e-05,0.8758,1.0588,0.7632,0.7027,0.7395,0.8476,99.2,0
145,1.981572e-05,0.8613,0.9759,0.7736,0.6988,0.7535,0.8685,97.6,1
146,1.919395e-05,0.8514,1.0392,0.7498,0.6710,0.7226,0.8558,97.4,0
147,1.858031e-05,0.8364,1.0292,0.7614,0.6814,0.7238,0.8791,97.6,0
148,1.797495e-05,0.8639,1.0394,0.7629,0.6887,0.7370,0.8629,99.2,0
149,1.737803e-05,0.8771,1.0066,0.7562,0.6869,0.7166,0.8650,100.2,0
150,1.678971e-05,0.8741,1.1152,0.7439,0.6671,0.7132,0.8514,95.5,0
151,1.621014e-05,0.9098,1.0363,0.7677,0.6964,0.7506,0.8562,98.1,0
152,1.563947e-05,0.8867,0.9725,0.7746,0.7063,0.7407,0.8769,97.7,1
153,1.507785e-05,0.8799,0.9934,0.7591,0.6760,0.7192,0.8821,97.4,0
154,1.452542e-05,0.8674,1.0289,0.7561,0.6753,0.7122,0.8809,100.6,0
155,1.398233e-05,0.7862,1.0953,0.7459,0.6679,0.7096,0.8602,97.0,0
156,1.344872e-05,0.8511,0.9721,0.7806,0.7144,0.7555,0.8718,96.2,1
157,1.292472e-05,0.8545,1.0654,0.7489,0.6709,0.7156,0.8602,96.9,0
158,1.241048e-05,0.8213,1.0246,0.7666,0.7036,0.7359,0.8603,95.9,0
159,1.190612e-05,0.8264,1.0763,0.7517,0.6810,0.7170,0.8571,96.0,0
160,1.141178e-05,0.8644,1.0109,0.7689,0.6853,0.7481,0.8734,98.9,0
