mode,tau_et,et_vmin,tc_vmin,dice_ET,dice_TC,dice_WT,n_cases,dice_mean
baseline,0.45,1500,1500,0.7721998416093123,0.7786736483025556,0.9252709556045614,251,0.8253814818388098
baseline,0.55,750,1000,0.7686066396973956,0.7822219026430786,0.9252415877353625,251,0.8253567100252789
baseline,0.45,1000,1500,0.7704441449393814,0.7786736483025556,0.9252709556045614,251,0.8247962496154995
baseline,0.55,1500,1500,0.7706738185979258,0.778232658579349,0.9252415877353625,251,0.8247160216375456
baseline,0.55,1000,1500,0.7689700988362933,0.778232658579349,0.9252415877353625,251,0.8241481150503348
baseline,0.45,750,1000,0.7644055091522818,0.7825179305015721,0.9252709556045614,251,0.8240647984194718
baseline,0.55,500,1000,0.764622575961839,0.7822219026430786,0.9252415877353625,251,0.8240286887800933
baseline,0.5,2000,1500,0.766673200761939,0.7789475655218022,0.9252854011606219,251,0.8236353891481211
baseline,0.45,2000,1500,0.7667787097453319,0.7786736483025556,0.9252709556045614,251,0.8235744378841496
baseline,0.45,500,1000,0.7628628581858424,0.7825179305015721,0.9252709556045614,251,0.8235505814306587
baseline,0.5,1000,1500,0.7663378730445506,0.7789475655218022,0.9252854011606219,251,0.8235236132423248
baseline,0.55,2000,1500,0.7652436131388044,0.778232658579349,0.9252415877353625,251,0.8229059531511719
baseline,0.5,750,1000,0.7603024588854906,0.7827887720683376,0.9252854011606219,251,0.8227922107048168
baseline,0.5,500,1000,0.7586783612767146,0.7827887720683376,0.9252854011606219,251,0.8222508448352247
baseline,0.45,750,1500,0.762476017457519,0.7786736483025556,0.9252709556045614,251,0.8221402071215453
baseline,0.45,500,1500,0.7609333664910797,0.7786736483025556,0.9252709556045614,251,0.8216259901327323
baseline,0.55,750,1500,0.7610019713553204,0.778232658579349,0.9252415877353625,251,0.8214920725566772
baseline,0.5,750,1500,0.7583697455664593,0.7789475655218022,0.9252854011606219,251,0.8208675707496278
baseline,0.5,500,1500,0.7567456479576833,0.7789475655218022,0.9252854011606219,251,0.8203262048800357
baseline,0.55,500,1500,0.7570179076197638,0.778232658579349,0.9252415877353625,251,0.8201640513114917
mc_dropout,0.45,500,0,0.7834142721122388,0.8011233016072397,0.9251671059418698,251,0.8365682265537827
mc_dropout,0.55,1000,0,0.7834304376383592,0.8007380814784082,0.9251432364050772,251,0.8364372518406148
mc_dropout,0.45,500,250,0.7825630055224976,0.7994882378022096,0.9251671059418698,251,0.8357394497555256
mc_dropout,0.55,500,0,0.7812006517286646,0.8007380814784082,0.9251432364050772,251,0.8356939898707166
mc_dropout,0.55,1000,250,0.782421042328807,0.7990929703240766,0.9251432364050772,251,0.8355524163526535
mc_dropout,0.5,500,0,0.7789720700401486,0.801232121811468,0.9251846345307977,251,0.835129608794138
mc_dropout,0.55,500,250,0.7802504214159784,0.7990929703240766,0.9251432364050772,251,0.8348288760483774
mc_dropout,0.45,1500,0,0.7777942585091221,0.8011233016072397,0.9251671059418698,251,0.8346948886860771
mc_dropout,0.5,1500,0,0.7774554232456402,0.801232121811468,0.9251846345307977,251,0.8346240598626352
mc_dropout,0.55,1500,0,0.7779833516633403,0.8007380814784082,0.9251432364050772,251,0.8346215565156085
mc_dropout,0.5,500,250,0.7781332145339529,0.7995761838232294,0.9251846345307977,251,0.83429801096266
mc_dropout,0.45,500,500,0.7805185405394027,0.7971473472120121,0.9251671059418698,251,0.8342776645644282
mc_dropout,0.55,1000,500,0.7804512738248852,0.7967861848832111,0.9251432364050772,251,0.8341268983710578
mc_dropout,0.45,1500,250,0.7775924899830435,0.7994882378022096,0.9251671059418698,251,0.8340826112423742
mc_dropout,0.5,1500,250,0.7772581302408307,0.7995761838232294,0.9251846345307977,251,0.8340063161982858
mc_dropout,0.55,1500,250,0.7776971833156602,0.7990929703240766,0.9251432364050772,251,0.8339777966816047
