epoch,lr,train_loss,val_loss,val_dice_mean,val_dice_ET,val_dice_TC,val_dice_WT,time_s,best_model
227,1.710381e-05,0.9416,0.9537,0.7750,0.6954,0.7603,0.8692,67.4,0
228,1.669598e-05,0.8891,1.0316,0.7659,0.6924,0.7378,0.8673,68.8,0
229,1.629240e-05,1.0078,1.0305,0.7774,0.7067,0.7531,0.8723,68.0,0
230,1.589313e-05,0.9599,0.9632,0.7742,0.6870,0.7356,0.8999,68.6,0
231,1.549821e-05,0.8946,0.9984,0.7642,0.6952,0.7461,0.8512,67.9,0
232,1.510771e-05,0.9475,1.0640,0.7622,0.6825,0.7291,0.8750,68.9,0
233,1.472165e-05,0.9890,1.0002,0.7772,0.7038,0.7452,0.8826,69.1,0
234,1.434011e-05,0.8922,0.9647,0.7744,0.6957,0.7602,0.8674,67.3,0
235,1.396311e-05,0.9401,0.9924,0.7620,0.6769,0.7315,0.8777,68.6,0
236,1.359071e-05,0.9464,1.0086,0.7556,0.6735,0.7214,0.8720,69.3,0
237,1.322296e-05,0.9112,1.0526,0.7694,0.6982,0.7375,0.8725,68.4,0
238,1.285990e-05,0.9605,0.9630,0.7657,0.6901,0.7307,0.8764,68.0,0
239,1.250159e-05,0.9915,1.0451,0.7614,0.6933,0.7371,0.8539,67.9,0
240,1.214805e-05,0.8713,1.0439,0.7582,0.6928,0.7289,0.8528,70.5,0
241,1.179934e-05,0.9536,0.9661,0.7716,0.6962,0.7461,0.8725,69.6,0
242,1.145551e-05,0.9990,0.9858,0.7718,0.7041,0.7404,0.8709,68.2,0
243,1.111658e-05,0.9127,1.0384,0.7499,0.6776,0.7149,0.8573,69.4,0
244,1.078262e-05,0.9747,1.0239,0.7618,0.6805,0.7462,0.8586,67.3,0
245,1.045366e-05,0.8757,1.0231,0.7684,0.7021,0.7418,0.8612,69.5,0
246,1.012974e-05,0.9090,0.9965,0.7875,0.7274,0.7693,0.8659,66.6,0
247,9.810897e-06,0.8857,1.0744,0.7604,0.6855,0.7389,0.8570,67.3,0
248,9.497180e-06,0.9250,1.0172,0.7606,0.6713,0.7441,0.8664,69.2,0
249,9.188624e-06,0.8928,1.0018,0.7710,0.7060,0.7279,0.8792,66.8,0
250,8.885269e-06,0.9887,1.0589,0.7645,0.6955,0.7356,0.8624,75.3,0
251,8.587152e-06,0.9140,1.0197,0.7540,0.6779,0.7228,0.8612,87.7,0
252,8.294312e-06,0.8965,1.0742,0.7548,0.6961,0.7061,0.8624,70.2,0
253,8.006785e-06,0.9899,1.0057,0.7846,0.7246,0.7499,0.8794,70.0,0
254,7.724607e-06,0.8334,1.0219,0.7580,0.6845,0.7313,0.8582,68.2,0
255,7.447814e-06,0.9454,0.9598,0.7832,0.7088,0.7687,0.8722,68.1,0
256,7.176441e-06,0.9437,1.0024,0.7768,0.6941,0.7505,0.8858,68.5,0
257,6.910521e-06,0.9657,1.0669,0.7535,0.6749,0.7199,0.8657,69.5,0
258,6.650089e-06,0.9387,1.0277,0.7788,0.7041,0.7670,0.8655,67.0,0
259,6.395177e-06,0.9471,1.0038,0.7740,0.7045,0.7517,0.8657,68.5,0
260,6.145817e-06,0.9436,0.9877,0.7794,0.7137,0.7498,0.8748,67.8,0
261,5.902041e-06,0.9361,0.9578,0.7794,0.7258,0.7378,0.8745,68.6,0
262,5.663879e-06,0.8929,1.0148,0.7742,0.7194,0.7444,0.8589,67.6,0
263,5.431361e-06,0.9340,1.0142,0.7632,0.6844,0.7331,0.8722,68.9,0
264,5.204517e-06,0.8913,1.0084,0.7718,0.7003,0.7432,0.8719,67.8,0
265,4.983375e-06,0.8799,1.0196,0.7637,0.6908,0.7281,0.8722,67.7,0
266,4.767963e-06,0.9409,0.9578,0.7815,0.7167,0.7479,0.8798,67.2,0
267,4.558308e-06,1.0207,1.0512,0.7809,0.7149,0.7494,0.8783,67.2,0
268,4.354436e-06,0.9260,1.0879,0.7629,0.7043,0.7246,0.8599,66.5,0
269,4.156374e-06,0.9391,1.0168,0.7697,0.7081,0.7291,0.8719,66.7,0
270,3.964145e-06,0.9141,1.0648,0.7722,0.6970,0.7438,0.8759,66.5,0
271,3.777775e-06,0.8974,0.9977,0.7823,0.7132,0.7487,0.8850,67.3,0
272,3.597287e-06,0.9623,1.0178,0.7711,0.6995,0.7380,0.8758,69.0,0
273,3.422702e-06,0.9748,1.0904,0.7746,0.7125,0.7475,0.8639,68.7,0
274,3.254045e-06,0.8874,1.0383,0.7686,0.6862,0.7348,0.8847,66.9,0
275,3.091335e-06,0.9242,1.0019,0.7675,0.6890,0.7408,0.8727,68.2,0
276,2.934593e-06,0.9477,1.1144,0.7616,0.6968,0.7280,0.8601,70.1,0
277,2.783838e-06,0.9319,1.0316,0.7708,0.6986,0.7340,0.8798,68.2,0
278,2.639091e-06,1.0138,0.9373,0.7949,0.7261,0.7543,0.9043,69.3,1
279,2.500369e-06,0.9224,1.0605,0.7658,0.7030,0.7260,0.8684,66.6,0
280,2.367689e-06,0.9710,1.0171,0.7618,0.6948,0.7246,0.8660,69.3,0
281,2.241068e-06,0.9459,1.0596,0.7628,0.7039,0.7333,0.8513,68.1,0
282,2.120523e-06,0.9992,1.0404,0.7644,0.6969,0.7171,0.8792,68.8,0
283,2.006068e-06,0.9791,1.0487,0.7571,0.6841,0.7186,0.8687,68.5,0
284,1.897717e-06,0.8862,1.0270,0.7697,0.7115,0.7260,0.8717,69.3,0
285,1.795485e-06,0.8457,1.0671,0.7734,0.7031,0.7423,0.8747,69.5,0
286,1.699385e-06,0.9303,0.9916,0.7712,0.6993,0.7440,0.8703,67.3,0
287,1.609427e-06,0.8586,1.0316,0.7737,0.7062,0.7376,0.8773,69.1,0
288,1.525624e-06,0.9556,1.0059,0.7672,0.7088,0.7154,0.8773,68.1,0
289,1.447987e-06,0.9208,0.9764,0.7783,0.7046,0.7355,0.8947,67.0,0
290,1.376524e-06,0.9899,1.0266,0.7621,0.6854,0.7273,0.8735,68.6,0
291,1.311246e-06,0.9224,0.9989,0.7773,0.7098,0.7518,0.8703,68.9,0
292,1.252159e-06,0.9135,1.0464,0.7780,0.7113,0.7522,0.8705,68.9,0
293,1.199272e-06,0.9266,1.0184,0.7640,0.7010,0.7323,0.8588,71.9,0
294,1.152592e-06,0.9592,1.0284,0.7596,0.6867,0.7269,0.8652,68.0,0
295,1.112124e-06,0.9294,1.0124,0.7872,0.7241,0.7547,0.8829,69.1,0
296,1.077873e-06,0.9030,1.0095,0.7815,0.7125,0.7531,0.8787,69.2,0
297,1.049843e-06,0.9458,1.0763,0.7687,0.7022,0.7372,0.8669,67.2,0
298,1.028039e-06,1.0284,0.9922,0.7699,0.6980,0.7333,0.8786,68.8,0
299,1.012462e-06,0.9896,1.0256,0.7844,0.7229,0.7615,0.8687,67.3,0
