epoch,lr,train_loss,val_loss,val_dice_mean,val_dice_ET,val_dice_TC,val_dice_WT,time_s,best_model
230,1.493409e-05,0.8052,1.0063,0.7685,0.7053,0.7289,0.8713,189.3,0
231,1.456322e-05,0.7783,1.0361,0.7789,0.7213,0.7472,0.8683,189.3,0
232,1.419657e-05,0.7995,1.0169,0.7743,0.7221,0.7271,0.8737,189.3,0
233,1.383417e-05,0.7850,1.0843,0.7544,0.6950,0.7190,0.8493,189.8,0
234,1.347608e-05,0.7715,1.0076,0.7698,0.7167,0.7375,0.8551,189.5,0
235,1.312234e-05,0.8323,1.0716,0.7696,0.7080,0.7349,0.8659,189.6,0
236,1.277298e-05,0.8030,1.0553,0.7673,0.7066,0.7241,0.8713,189.2,0
237,1.242805e-05,0.7573,1.0294,0.7719,0.7051,0.7378,0.8727,189.5,0
238,1.208758e-05,0.7996,1.0672,0.7533,0.6927,0.7050,0.8622,189.3,0
239,1.175163e-05,0.8209,1.0528,0.7558,0.6828,0.7181,0.8665,189.9,0
240,1.142022e-05,0.7188,1.0431,0.7676,0.7071,0.7255,0.8702,189.3,0
241,1.109339e-05,0.7946,1.0750,0.7523,0.6780,0.7140,0.8649,189.4,0
242,1.077119e-05,0.7808,1.1055,0.7453,0.6833,0.7054,0.8471,189.4,0
243,1.045366e-05,0.8204,1.0665,0.7606,0.6967,0.7139,0.8712,189.6,0
244,1.014082e-05,0.7894,1.0135,0.7846,0.7329,0.7358,0.8851,189.3,0
245,9.832722e-06,0.7998,1.0792,0.7638,0.7106,0.7228,0.8581,189.4,0
246,9.529395e-06,0.7815,1.0871,0.7740,0.7191,0.7455,0.8574,189.4,0
247,9.230875e-06,0.7778,1.1139,0.7485,0.6831,0.7119,0.8505,189.5,0
248,8.937199e-06,0.8240,1.0756,0.7729,0.7222,0.7330,0.8634,189.8,0
249,8.648400e-06,0.8043,1.0407,0.7589,0.6938,0.7076,0.8752,189.2,0
250,8.364512e-06,0.7546,1.0922,0.7623,0.7098,0.7275,0.8496,189.7,0
251,8.085570e-06,0.7840,1.0211,0.7598,0.7014,0.7099,0.8682,189.4,0
252,7.811605e-06,0.7945,0.9849,0.7755,0.7112,0.7352,0.8800,189.4,0
